name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2015-11-21,2.3,-8.9,-4.7,-1.3,-18.4,-10.8,-6.3,88.4,7.836,100,70.83,"rain,snow",5,9.9,68.3,40.6,4.2,1000.2,90.6,12.9,64.1,5.5,3,,2015-11-21T07:31:18,2015-11-21T16:41:13,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06786099999,06780099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-22,-7.7,-10.5,-8.7,-13.2,-16.8,-14.9,-10.4,87.4,1.832,100,62.5,snow,3.1,12.9,68.3,22.8,351,1008.8,70.9,8.8,71.2,6.1,3,,2015-11-22T07:32:41,2015-11-22T16:40:22,0.38,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-23,-8.3,-12.9,-10.9,-10,-18.7,-13.9,-14.6,75.1,0,0,0,snow,1.4,15.7,26.2,12.7,189.1,1023.9,62.9,20,59.7,5.1,3,,2015-11-23T07:34:03,2015-11-23T16:39:33,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-24,-4.8,-11.8,-8.7,-7.9,-17.3,-12.7,-15.8,59.5,0,0,0,snow,0.5,15.6,28,12.5,207.5,1025.5,40.8,23.5,99.6,8.5,4,,2015-11-24T07:35:25,2015-11-24T16:38:46,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-25,-3.1,-6.6,-5.2,-5.4,-13.2,-9.4,-7.5,83.9,0.367,100,25,snow,2.5,16.8,34.4,22,351.8,1012.4,89,10.6,41,3.6,2,,2015-11-25T07:36:45,2015-11-25T16:38:02,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-26,-6,-7.8,-6.9,-12.5,-15.6,-14,-8.7,87.2,0.779,100,41.67,snow,2.1,19.7,52.5,27.5,14.3,1014.2,64.6,7,77.5,6.7,3,,2015-11-26T07:38:05,2015-11-26T16:37:20,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-27,-3.2,-9.4,-7.1,-3.5,-15,-11,-13.2,64.2,0,0,0,snow,0.5,20.6,42.1,15.6,56.8,1019.2,25.8,13.9,96.1,8.4,4,,2015-11-27T07:39:23,2015-11-27T16:36:41,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,remote,06793099999"
"Davos, Graubünden, Schweiz",2015-11-28,-4.3,-10.4,-7.2,-9.3,-15.8,-12.4,-10.1,80.6,0.929,100,33.33,snow,0,20.2,51,23.7,341.5,1021.9,51.7,9.6,52.1,4.6,3,,2015-11-28T07:40:41,2015-11-28T16:36:04,0.58,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06790099999,06784099999,remote,06793099999"
"Davos, Graubünden, Schweiz",2015-11-29,-1.2,-9.4,-5.2,-1.4,-14.3,-8.4,-7.8,82.3,0.903,100,29.17,"rain,snow",0,20,52.4,12.2,247.8,1028.3,79.4,10.9,72,6.4,3,,2015-11-29T07:41:57,2015-11-29T16:35:30,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2015-11-30,2.5,-3.8,-1.6,-1,-7.9,-4.9,-6.1,72.7,0,0,0,,0,19.5,49.1,17.1,264.9,1030.5,81.5,18.3,88.6,7.6,4,,2015-11-30T07:43:12,2015-11-30T16:34:59,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,remote,06793099999"
