name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2009-11-28,0.8,-4.9,-2.7,-3.3,-9.1,-6,-8.9,64.5,0,0,0,snow,0.9,20.5,31,14.1,193.5,,48.4,30.1,,,,,2009-11-28T07:41:18,2009-11-28T16:35:47,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-11-29,2.7,-3,0.3,-1.6,-7.4,-4.7,-7.4,56.7,0.052,100,16.67,"rain,snow",1.1,19,61.7,29.6,191.6,,82.2,20.5,,,,,2009-11-29T07:42:33,2009-11-29T16:35:14,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-11-30,-0.4,-5.4,-2.3,-4.9,-10.2,-7,-3.8,89.3,30.679,100,95.83,"rain,snow",19.8,28.4,61.8,19.9,15.2,,100,3.8,,,,,2009-11-30T07:43:48,2009-11-30T16:34:44,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-01,-5.6,-9.5,-6.1,-9.3,-18,-11.3,-6.9,94.4,4.032,100,41.67,snow,10.2,46.6,35,24.6,357.7,,98.7,6.5,,,,,2009-12-01T07:45:01,2009-12-01T16:34:17,0.47,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-02,-3.7,-9,-6.3,-7.2,-14.3,-10.2,-10.4,73.5,0,0,0,snow,1.7,51.1,24.4,12.2,197,,57.4,22.6,,,,,2009-12-02T07:46:12,2009-12-02T16:33:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-03,-1.5,-6.6,-4.4,-2.1,-10.9,-6.9,-9.7,67.1,0,0,0,"rain,snow",1.2,51,22.2,13.5,194.7,,49.2,27.3,,,,,2009-12-03T07:47:22,2009-12-03T16:33:30,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-04,-4.3,-8.2,-5.9,-6.7,-14.1,-11.6,-7.2,90.8,6.753,100,50,snow,0.7,52.3,35.6,21.6,5,,98,8.3,,,,,2009-12-04T07:48:31,2009-12-04T16:33:11,0.58,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-05,-2,-8.6,-5.4,-2.5,-13.4,-8.8,-10.4,69.2,0,0,0,,0,52.4,30.5,14.2,240.2,,68.3,24.1,,,,,2009-12-05T07:49:38,2009-12-05T16:32:54,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-06,-0.2,-4.1,-2,-1.5,-8,-4.6,-5.3,78.1,0,0,0,,0,52.2,25.8,10.1,201,,97.5,20.4,,,,,2009-12-06T07:50:43,2009-12-06T16:32:40,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2009-12-07,1.7,-0.7,0.1,-0.1,-3.4,-1.6,-1.8,87.2,2.091,100,20.83,"rain,snow",2,52.7,20.1,10,203.8,,93.8,18.1,,,,,2009-12-07T07:51:46,2009-12-07T16:32:29,0.68,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
