name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2016-11-10,-2.7,-5.9,-4.4,-5.1,-10.8,-8.3,-6.5,85.5,4.748,100,87.5,snow,3.5,9.7,38,14.3,264,1013.2,82.8,9.8,63.7,5.4,3,,2016-11-10T07:16:34,2016-11-10T16:52:10,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-11,-3.9,-6.1,-4.8,-6.3,-13.1,-10.5,-6.4,89.2,8.91,100,87.5,snow,4.1,13.8,47.9,23.9,1.8,1015.4,87.2,7.3,40.5,3.5,2,,2016-11-11T07:18:02,2016-11-11T16:50:56,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-12,-5.1,-8.7,-6.9,-5.8,-15.1,-12.6,-11.3,73,0.781,100,41.67,snow,2.8,17.6,38.2,23.6,8.4,1023.8,34.8,13.3,117.5,10.1,5,,2016-11-12T07:19:30,2016-11-12T16:49:44,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-13,-1.2,-8.7,-4.2,-1.2,-13.2,-6.7,-11.8,57.8,0,0,0,,0,18.1,24.1,11.3,269.9,1025.6,81.8,18.6,65.1,5.7,3,,2016-11-13T07:20:58,2016-11-13T16:48:35,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-14,-0.8,-6.2,-3.8,-3,-11.1,-5.7,-8.7,71.5,0,0,0,,0,17.8,20.5,12.8,286.6,1031,58.4,9.3,105.3,9,5,,2016-11-14T07:22:25,2016-11-14T16:47:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-15,1.1,-6.9,-2.5,0.6,-11.4,-5.5,-11.1,54.9,0.403,100,16.67,"rain,snow",0,17.2,19,13.2,291.3,1032.7,60.7,15.6,106.9,9.3,5,,2016-11-15T07:23:51,2016-11-15T16:46:21,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-16,4.6,0.6,2.1,4.6,-2.5,0.7,1,92.4,0.837,100,29.17,"rain,snow",0,15.8,22.8,10,248,1025.5,96.2,14.3,69.1,6,3,,2016-11-16T07:25:18,2016-11-16T16:45:18,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-17,5.4,-0.5,1.8,3.8,-5.7,-0.7,-0.6,84.7,0.012,100,4.17,rain,0,14.3,31.1,20.7,200,1017.2,68.4,18.3,87.5,7.5,4,,2016-11-17T07:26:44,2016-11-17T16:44:17,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-18,4.8,-1.6,1.6,0.4,-6.3,-2.4,-3,72.5,0.104,100,20.83,"rain,snow",0.1,12.6,54.5,23.9,192.8,1010.2,65.9,16.7,82.6,7.2,4,,2016-11-18T07:28:09,2016-11-18T16:43:18,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-19,1.4,-4.8,-1.5,-2,-11.6,-6.1,-2.9,90.2,7.707,100,79.17,"rain,snow",0.5,12.8,49,28.8,40.8,1013.4,88.5,4.1,46.4,3.9,2,,2016-11-19T07:29:34,2016-11-19T16:42:21,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-20,2.4,-3.5,0,-1.8,-8.1,-4.8,-6,64.6,0,0,0,"rain,snow",0.3,13.1,48.6,28.8,195.8,1012.5,94.3,17.7,83.6,7.3,4,,2016-11-20T07:30:58,2016-11-20T16:41:27,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-21,6.3,0,3.8,2.3,-4.7,-0.7,-1.7,67.9,0.006,100,4.17,"rain,snow",0,12.3,57.3,30.3,162.6,1009.4,94.4,18.5,52.9,4.7,2,,2016-11-21T07:32:21,2016-11-21T16:40:35,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-22,7.9,2,4.8,4.4,-2.1,1,-1.2,65.9,0,0,0,,0,11.7,51.1,24.8,171.1,1012.9,98.3,16.3,50.1,4.2,2,,2016-11-22T07:33:44,2016-11-22T16:39:45,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-23,6.9,0.2,4.2,4.4,-1.4,1.4,-0.7,71.4,0.3,100,8.33,"rain,snow",0,11.2,39.4,20.8,181,1017.4,98.4,21.1,34.7,3,2,,2016-11-23T07:35:05,2016-11-23T16:38:58,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,remote,06793099999"
"Davos, Graubünden, Schweiz",2016-11-24,5.6,0.6,3.4,2.7,-3.7,-0.3,-3.1,63.2,0,0,0,,0,10.7,39.8,22.6,187.8,1016,93.7,17,52.8,4.7,2,,2016-11-24T07:36:26,2016-11-24T16:38:13,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-25,6.8,1.9,4.3,4.3,-2.1,1.4,-0.8,70,0.315,100,12.5,"rain,snow",0.1,10.2,41,19.9,78.1,1014.4,97.2,15.3,34.1,2.9,2,,2016-11-25T07:37:46,2016-11-25T16:37:30,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-26,4.6,-0.3,1.2,3.4,-4.3,-1.3,-1,86,0.275,100,25,"rain,snow",1.3,10.8,30.5,17.8,356.7,1018.1,93.4,8.1,67.3,5.9,3,,2016-11-26T07:39:05,2016-11-26T16:36:51,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-27,1.4,-1.8,-0.3,-1.2,-5.5,-3.4,-1.3,92.7,2.914,100,50,"rain,snow",0.8,12.5,30.7,16.9,2.2,1017.2,81.4,9.6,83,7.2,4,,2016-11-27T07:40:23,2016-11-27T16:36:13,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-28,-2.3,-5.8,-4,-5.9,-11.3,-8.7,-7.8,76.2,0.131,100,12.5,snow,0,12.6,29.5,17.4,38,1020.8,40.7,10.6,93.8,8.1,4,,2016-11-28T07:41:39,2016-11-28T16:35:39,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-29,-2.1,-8,-5.4,-5.3,-12.6,-8.3,-14.8,47.5,0.067,100,4.17,snow,0,12.5,22,13.6,304.7,1031.2,13,17.3,90.5,7.8,4,,2016-11-29T07:42:54,2016-11-29T16:35:07,0,Snow,Clear conditions throughout the day with afternoon snow.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-11-30,0.8,-5.9,-3.6,-2.1,-10.2,-7.3,-14.4,43.6,0.101,100,4.17,"rain,snow",0,12.1,24.5,13.9,318.7,1035.9,12.5,20.4,93.2,8,4,,2016-11-30T07:44:08,2016-11-30T16:34:37,0.03,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-01,1.3,-4.9,-2.4,-1.6,-9.9,-6.7,-12.8,45.3,0,0,0,,0,11.7,25.9,15.9,343.6,1031.6,57.4,19.6,85.7,7.4,4,,2016-12-01T07:45:21,2016-12-01T16:34:11,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-02,1.9,-4.6,-2.2,-2.1,-8.3,-6.2,-10,56.4,0,0,0,,0,11.2,34,22.3,337.8,1024.9,44.8,13.9,91.3,7.8,4,,2016-12-02T07:46:32,2016-12-02T16:33:47,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-03,2.1,-4.7,-2.7,-0.7,-8.3,-4.5,-14.7,39.4,0,0,0,,0,10.7,21.2,10,223.1,1023,44.4,14,81.9,7.2,4,,2016-12-03T07:47:42,2016-12-03T16:33:25,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-04,-0.6,-5.8,-3.5,-2.1,-9.3,-5.8,-15.6,39,0,0,0,,0,9.9,17.4,10.4,206.2,1026.8,24.6,18.9,80.7,7.2,4,,2016-12-04T07:48:50,2016-12-04T16:33:07,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-05,-0.4,-6.6,-4.3,-0.4,-8.6,-5.3,-16.3,39.8,0,0,0,,0,9.4,15.1,7,253.5,1030.2,11.9,18.4,85.5,7.4,4,,2016-12-05T07:49:56,2016-12-05T16:32:51,0.21,Clear,Clear conditions throughout the day.,clear-day,"06785099999,06780099999,06786099999,06790099999,06784099999,remote,06793099999"
"Davos, Graubünden, Schweiz",2016-12-06,0,-6.1,-3.9,-3,-10,-7.1,-11.3,58.2,0.101,100,4.17,snow,0,8.8,20,10.4,316.4,1033.6,16.1,15.5,88.2,7.7,4,,2016-12-06T07:51:01,2016-12-06T16:32:38,0.24,Snow,Clear conditions throughout the day with early morning snow.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-07,3.4,-5.2,-1.1,2,-9.3,-3,-18.9,24.8,0,0,0,,0,7.7,16.7,9.3,268,1036.5,30.7,17,83.4,7.3,4,,2016-12-07T07:52:03,2016-12-07T16:32:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2016-12-08,5.4,-0.7,1.2,3.8,-2.6,0.6,-15.5,28,0,0,0,,0,6.7,16.9,11.2,305.2,1037.4,50.9,17.6,73.9,6.4,3,,2016-12-08T07:53:04,2016-12-08T16:32:21,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
