name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2017-11-12,2.3,-5.7,-0.9,-0.6,-13.1,-4.8,-2,92.6,15.839,100,83.33,"rain,snow",3.5,14.9,90,54.1,345.2,1007.6,94.2,9.4,63.1,5.5,3,,2017-11-12T07:19:08,2017-11-12T16:50:01,0.79,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-13,-6,-8,-7.2,-13.6,-17,-15.8,-9,86.8,3.842,100,83.33,snow,1.7,17.8,61.8,37.8,27.9,1013.3,93.8,4.8,67.9,6,3,,2017-11-13T07:20:36,2017-11-13T16:48:51,0.82,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-14,-3.6,-10,-7.2,-4.1,-16.4,-12,-12.8,66.3,0.07,100,12.5,snow,0.1,18,45.5,14.9,30.9,1025.9,63.6,15.3,92.8,8,4,,2017-11-14T07:22:03,2017-11-14T16:47:43,0.86,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-15,0.9,-7.3,-3.4,0.9,-12,-5.8,-11.4,54.4,0.101,100,4.17,"rain,snow",0,17.6,20.8,10.7,296.4,1027.3,17.4,21,104.3,9,4,,2017-11-15T07:23:30,2017-11-15T16:46:37,0.89,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-16,3,-3.5,-1,3,-7.6,-3.1,-6.3,67.7,0.168,100,8.33,rain,0,17.4,18.9,13.7,292.6,1025.9,32.5,14.3,102,8.7,4,,2017-11-16T07:24:56,2017-11-16T16:45:33,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-17,0.4,-5,-3.2,-3.1,-8.8,-6.5,-8.6,66.9,0.008,100,8.33,"rain,snow",0,16.7,24.7,17.5,342,1027,65.7,7,89.8,7.7,4,,2017-11-17T07:26:22,2017-11-17T16:44:31,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-18,-0.8,-6.7,-4.7,-4,-11.3,-8.8,-11.1,63.3,0,0,0,"rain,snow",1.1,16.2,27.8,18.4,324.6,1025.1,68.4,11.7,82,7.1,4,,2017-11-18T07:27:48,2017-11-18T16:43:31,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-19,-3.6,-7,-5.7,-9.5,-13,-11.5,-8.6,81,9.93,100,79.17,snow,2.3,18.1,70.2,30.8,350.7,1022.9,89.4,3.7,45.1,3.8,2,,2017-11-19T07:29:13,2017-11-19T16:42:34,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-20,-1.3,-9.4,-5,-5,-15.4,-9.4,-10.2,68.7,0.14,100,12.5,"rain,snow",0.9,19.6,39.7,16.1,288.2,1025.7,84.1,11.3,70.2,5.9,3,,2017-11-20T07:30:37,2017-11-20T16:41:39,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2017-11-21,1.5,-2.9,-0.6,-0.6,-7.4,-3.9,-2.7,85.3,1.789,100,45.83,"rain,snow",0.2,19.9,41.1,21.1,308.5,1022.8,67.7,10,71.3,6,3,,2017-11-21T07:32:00,2017-11-21T16:40:46,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06785099999,06780099999,06786099999,06790099999,06784099999,06793099999"
