name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",1998-11-20,-4.9,-10.1,-7.7,-10.2,-16.5,-13.7,-14.2,61.4,0.101,100,8.33,snow,,38.5,,29.5,13.7,1031.8,50.1,10.3,,,,,1998-11-20T07:30:06,1998-11-20T16:42:02,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"11110099999,06990099999,06680099999,06786099999,11308099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-21,-5.3,-12.9,-9.3,-11.5,-19.5,-16.6,-16.6,56.1,0.011,100,4.17,snow,,0.4,,29.5,11,1036.1,40,14.4,,,,,1998-11-21T07:31:30,1998-11-21T16:41:08,0.08,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"06990099999,06786099999,06794099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-22,-5.9,-13.4,-9.6,-5.9,-21.4,-13.2,-14.5,68.3,0.011,100,4.17,snow,,0.2,,25.9,22.5,1030.1,43.7,15.8,,,,,1998-11-22T07:32:53,1998-11-22T16:40:17,0.11,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"06990099999,06786099999,06792099999,11105099999,16008099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-23,0.1,-9.4,-4.1,-1.9,-12.2,-6.5,-10.3,63.4,0.011,100,4.17,snow,,0.4,,18.4,1.5,1024.4,79.4,11.8,,,,,1998-11-23T07:34:16,1998-11-23T16:39:28,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,rain,"11110099999,06990099999,06786099999,11101099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-24,0.1,-4.8,-2.1,-2.9,-9.3,-5.7,-5.6,77.6,0.411,100,4.17,snow,,7.4,,22.3,355.1,1023.6,82.7,8.5,,,,,1998-11-24T07:35:37,1998-11-24T16:38:42,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"11110099999,06990099999,06786099999,06792099999,16008099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-25,0.1,-4.1,-1.8,-0.3,-5.9,-3.8,-4.5,82.4,0.011,100,4.17,"rain,snow",,7,,11.5,39,1019.7,89.2,6.9,,,,,1998-11-25T07:36:58,1998-11-25T16:37:58,0.22,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"11110099999,06990099999,06786099999,06792099999,16008099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-26,0.1,-4,-2.1,-2.4,-8,-5.2,-5.6,78.1,0.874,100,8.33,"rain,snow",,1.8,,25.9,341.7,1022.4,83.7,8.7,,,,,1998-11-26T07:38:17,1998-11-26T16:37:16,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"11110099999,06990099999,06786099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-27,0.1,-5.1,-2.7,-1.9,-8.4,-5.4,-6.7,74.7,0.802,100,8.33,snow,,7.6,,14.8,346,1021.9,71.9,9.4,,,,,1998-11-27T07:39:36,1998-11-27T16:36:37,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,rain,"11110099999,06990099999,06786099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-28,1.1,-7.7,-3.7,-0.9,-11.1,-6.5,-9.5,66.1,0.053,100,8.33,snow,,7.3,,14.8,355.8,1022.9,34.7,14.7,,,,,1998-11-28T07:40:53,1998-11-28T16:36:01,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,rain,"11110099999,06990099999,06786099999,11101099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-29,3.1,-9.1,-4,3.1,-11.1,-4.4,-11.7,57.3,0,0,0,,,9,,6.8,273.1,1016.1,54.8,17.2,,,,,1998-11-29T07:42:09,1998-11-29T16:35:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11110099999,06990099999,06786099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-11-30,-1.9,-6.1,-3.8,-1.9,-7.7,-4.5,-7.1,78.7,0.178,100,8.33,snow,,10.3,,8.7,14.9,1020.4,85.7,9,,,,,1998-11-30T07:43:24,1998-11-30T16:34:57,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"11110099999,06990099999,06786099999,06792099999,16008099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",1998-12-01,-1.5,-8.8,-5.6,-5,-9.5,-7.2,-9.3,75.5,0,0,0,,,7.6,,11,35.4,1027.8,36.1,20.8,,,,,1998-12-01T07:44:38,1998-12-01T16:34:28,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11110099999,06990099999,06786099999,06794099999,06792099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1998-12-02,-2.1,-7.5,-5.8,-2.1,-11.1,-6.7,-9.2,77.2,0,0,0,,,6.5,,10.1,289.4,1026.7,54.8,14.7,,,,,1998-12-02T07:45:50,1998-12-02T16:34:02,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11110099999,06990099999,06786099999,06794099999,06792099999,16008099999,11105099999,11310099999,16008399999,06791099999"
