name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2005-12-03,-4.3,-8.4,-6.7,-9.4,-15.1,-12.2,-7.2,96.3,15.119,100,12.5,snow,0,17.2,64.5,29.2,210.6,,84.9,9.1,,,,,2005-12-03T07:47:22,2005-12-03T16:33:32,0.07,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-04,-5.1,-8.3,-6.5,-12,-16.4,-13.7,-9.9,77.7,0,0,0,,0,17.2,60.4,29.8,171.1,,69,22.1,,,,,2005-12-04T07:48:31,2005-12-04T16:33:12,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-05,-5.7,-9.2,-7.7,-7.7,-16.6,-12.3,-8.2,96.5,0.769,100,4.17,snow,5.3,18.5,61.4,26.5,190.3,,84.8,15,,,,,2005-12-05T07:49:38,2005-12-05T16:32:56,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-06,-9.1,-11.9,-11.1,-17.3,-21.7,-19.9,-11.3,98.2,3.716,100,8.33,snow,5.4,25.4,55,39.8,341,,97.1,5.3,,,,,2005-12-06T07:50:43,2005-12-06T16:32:42,0.17,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-07,-10.9,-12.7,-12,-17.2,-24.1,-20.6,-12.2,98.7,0.754,100,8.33,snow,2.9,29,61.5,41.4,332.9,,94.4,4.2,,,,,2005-12-07T07:51:46,2005-12-07T16:32:31,0.21,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-08,-10,-13.1,-11.5,-14.8,-21.1,-18.8,-13.4,87.5,0.765,100,12.5,snow,2,31.3,61.7,29.4,221.2,,84.2,9,,,,,2005-12-08T07:52:48,2005-12-08T16:32:22,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-09,-8.6,-13.3,-11.8,-12.3,-20.6,-17.8,-13.1,92.3,0,0,0,snow,0.6,32.6,42.7,17.4,32.7,,67,13.2,,,,,2005-12-09T07:53:48,2005-12-09T16:32:17,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-10,-6.4,-9,-7.9,-12.8,-17.6,-15,-22.9,29.7,0,0,0,,0,32.6,46.2,29.4,47.5,,32,24.9,,,,,2005-12-10T07:54:45,2005-12-10T16:32:14,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-11,-4.4,-10.2,-6.7,-9.2,-15.2,-12.2,-19.7,37.2,0,0,0,,0,32.6,51.6,29.7,79.1,,1.3,32.7,,,,,2005-12-11T07:55:41,2005-12-11T16:32:15,0.35,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06786099999,06780099999,06792099999"
"Davos, Graubünden, Schweiz",2005-12-12,-1.6,-4.1,-2.6,-5.8,-11.3,-7.6,-13.1,46.7,0,0,0,,0,32.6,58.9,26.2,92.8,,50.3,24,,,,,2005-12-12T07:56:35,2005-12-12T16:32:18,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999"
