name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2001-11-23,-4.6,-11.5,-9.3,-16.4,-23.4,-19.7,-11.3,85.5,15.665,100,33.33,snow,9.5,19.5,,84.4,28.5,,100,3.1,,,,,2001-11-23T07:34:38,2001-11-23T16:39:14,0.25,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"06798099999,11110099999,06788099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2001-11-24,-6.1,-11.6,-8.8,-10.2,-20.4,-15.7,-10.8,85.2,0.486,100,12.5,snow,4.6,28.1,,32.1,19.6,,82.4,12.9,,,,,2001-11-24T07:35:59,2001-11-24T16:38:29,0.29,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2001-11-25,-0.9,-5.8,-3,-7.4,-11.5,-10,-4.1,92,3.648,100,20.83,"rain,snow",0.7,29.7,,59.7,8.3,1012.9,98,4.2,,,,,2001-11-25T07:37:19,2001-11-25T16:37:45,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,16008399999"
"Davos, Graubünden, Schweiz",2001-11-26,1.1,-2.3,-1.4,0.3,-8.7,-4.4,-2.9,89.4,5.746,100,12.5,"rain,snow",0.6,29.9,,25.7,348.2,1010.8,90.3,11.2,,,,,2001-11-26T07:38:39,2001-11-26T16:37:05,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,06788099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,16008399999"
"Davos, Graubünden, Schweiz",2001-11-27,-1.4,-4.1,-2.6,-1.4,-12.5,-7,-3.9,90.7,1.413,100,8.33,"rain,snow",5.2,32.2,,48.4,359.7,,96.7,4.6,,,,,2001-11-27T07:39:57,2001-11-27T16:36:26,0.39,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2001-11-28,-2.2,-8.8,-5.1,-2.2,-16.7,-12.5,-7.5,83.2,1.036,100,12.5,snow,6,38.9,,61,13.8,1014.3,79.3,16.3,,,,,2001-11-28T07:41:14,2001-11-28T16:35:51,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06798099999,06990099999,11302099999,06780099999,06786099999,06792099999,06784099999,11310099999,16008399999"
"Davos, Graubünden, Schweiz",2001-11-29,-3.3,-10.9,-5.6,-4.1,-21.2,-11.8,-8.4,80.7,0.671,100,4.17,snow,7.3,44.9,,58.5,27.6,1019,76.6,22.2,,,,,2001-11-29T07:42:30,2001-11-29T16:35:18,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,16008399999,06791099999"
"Davos, Graubünden, Schweiz",2001-11-30,3.1,-3.5,-0.8,-0.9,-9.4,-6.9,-1.6,94,18.592,100,20.83,"rain,snow",2.9,51.2,,44.7,34.2,1015.9,97.6,4.7,,,,,2001-11-30T07:43:44,2001-11-30T16:34:48,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,16008399999"
"Davos, Graubünden, Schweiz",2001-12-01,3.1,-0.1,1.1,2.2,-5.6,-3.1,0.5,95.7,8.038,100,25,"rain,snow",0,50.6,,29.6,30.1,1016.9,96.6,7.8,,,,,2001-12-01T07:44:57,2001-12-01T16:34:20,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999,16008399999"
"Davos, Graubünden, Schweiz",2001-12-02,6.4,0.2,2.6,6.1,-4.6,1.4,1.3,91.5,6.962,100,8.33,"rain,snow",0,49.8,,20,5.8,1021.7,92.7,8.2,,,,,2001-12-02T07:46:09,2001-12-02T16:33:55,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06798099999,06990099999,11302099999,06780099999,06786099999,06792099999,06784099999,16008399999"
