name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2010-11-26,-9.4,-13,-10.9,-10.5,-20.5,-17.4,-12.1,90.6,2.853,100,8.33,snow,8.3,56.2,47.3,26.9,10.2,1004.9,95.2,6.5,33.9,2.9,2,,2010-11-26T07:38:24,2010-11-26T16:37:11,0.67,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-11-27,-8.5,-15.9,-11.8,-15.4,-22.4,-17.7,-16.1,71.9,0.362,100,4.17,snow,4.7,65.3,42.6,19.9,186.4,1007.7,64.2,25.2,79.9,6.9,4,,2010-11-27T07:39:42,2010-11-27T16:36:32,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-11-28,-3,-9.5,-5.1,-3,-14.7,-5.8,-6.7,88.5,0.043,100,8.33,snow,2.3,66.8,29.8,10.9,204.4,1003.4,95.2,13.7,33.1,2.8,2,,2010-11-28T07:40:59,2010-11-28T16:35:56,0.75,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-11-29,-4.7,-14.5,-8.6,-4.7,-19.7,-13.9,-10.6,85.9,4.586,100,12.5,snow,3.2,70,33.1,20.9,7.7,1006.3,58.8,10,62.4,5.4,3,,2010-11-29T07:42:15,2010-11-29T16:35:23,0.78,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06798099999,06786099999,06780099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-11-30,-6.8,-15.2,-10.8,-10.6,-20.3,-15.8,-17.6,58.9,0,0,0,snow,1.1,68.6,34.5,14.9,194.7,1010.1,52,22.9,66.8,5.7,3,,2010-11-30T07:43:30,2010-11-30T16:34:52,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-12-01,-4.2,-8,-6.3,-4.7,-15.5,-10.6,-7.2,93,8.405,100,16.67,snow,1.2,66.4,39.3,23.4,320.4,998.7,87.7,7.5,49.3,4.3,2,,2010-12-01T07:44:43,2010-12-01T16:34:24,0.85,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-12-02,-7.8,-13,-9.6,-8.5,-18.1,-12.9,-11.3,87,3.92,100,8.33,snow,6.8,71.4,39.3,13.5,316.4,1008.3,85.3,7.2,44.2,3.9,2,,2010-12-02T07:45:55,2010-12-02T16:33:58,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-12-03,-10,-14.5,-12.5,-10,-20,-14.8,-15.7,77.8,0,0,0,,0,73.1,21.2,9.3,194.5,1011.5,71.6,13,85.2,7.4,4,,2010-12-03T07:47:06,2010-12-03T16:33:36,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-12-04,-10.5,-15.9,-13.6,-15.1,-22.9,-19.2,-19.2,65.7,0,0,0,,0,72.4,26.3,12.9,178.9,1022.8,44.8,13.2,77.4,6.7,4,,2010-12-04T07:48:14,2010-12-04T16:33:16,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
"Davos, Graubünden, Schweiz",2010-12-05,-4.1,-11.7,-7.1,-9.8,-16.6,-13.4,-13.6,61.3,0,0,0,snow,4.2,73.2,47.5,30.5,199.1,1016.2,86.8,19.1,48.3,4.2,3,,2010-12-05T07:49:22,2010-12-05T16:32:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,06787099999"
