name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2011-12-08,-3.3,-5.2,-4.3,-6.2,-12.9,-9.8,-8.2,75.5,11.559,100,8.33,snow,3.7,33.8,38.3,36.2,358.5,1026.6,64.9,16.6,81.2,7,4,,2011-12-08T07:52:18,2011-12-08T16:32:26,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-09,-0.5,-4.3,-2.9,-3.1,-8.2,-6.4,-8.4,66,0,0,0,snow,0.4,35.1,28.3,12.8,198.7,1020.5,77.4,24.3,76.3,6.7,4,,2011-12-09T07:53:19,2011-12-09T16:32:19,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-10,1,-2.7,-1.4,-1.2,-6.1,-3.8,-5,76.8,0,0,0,"rain,snow",0.8,35.4,27.4,12.9,218.4,1017.8,68.3,19.3,61.2,5.2,3,,2011-12-10T07:54:17,2011-12-10T16:32:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-11,-0.2,-6,-3,-1.7,-10.6,-5.7,-6.6,76.8,0,0,0,"rain,snow",0.6,36.2,19.9,11.7,183,1019.1,28.6,24.1,74.9,6.4,4,,2011-12-11T07:55:14,2011-12-11T16:32:14,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-12,-0.4,-8.2,-4.4,-4.8,-14.4,-9.5,-7.1,81.3,6.643,100,4.17,"rain,snow",1.6,37,66.3,35.9,11.1,1015.1,76.4,15.5,28.9,2.5,1,,2011-12-12T07:56:08,2011-12-12T16:32:16,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-13,0.1,-9.4,-4.4,-4.3,-14.9,-9.1,-11.9,56.8,0,0,0,"rain,snow",2.4,39.3,40.4,18.4,207,1016.7,81,22.1,65.8,5.8,3,,2011-12-13T07:57:01,2011-12-13T16:32:21,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-14,1.4,-3.4,-1.6,-1.4,-8.7,-5.6,-4.3,82.1,0.666,100,4.17,"rain,snow",1.7,41.5,39.4,20.4,216.5,1012.1,72.7,20.8,63.5,5.5,3,,2011-12-14T07:57:51,2011-12-14T16:32:28,0.64,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-15,-3.7,-7.1,-5.3,-7.6,-13.5,-9.8,-8,81.5,4.05,100,12.5,snow,1.4,42.9,41.2,24.3,264.7,1015.5,81.6,16.1,32.5,2.8,1,,2011-12-15T07:58:39,2011-12-15T16:32:38,0.67,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-16,-0.5,-6.8,-3.8,-6.1,-15.3,-10.4,-6,85,7.393,100,12.5,"rain,snow",6.4,45.9,74.2,42.5,202.2,1000.8,93.5,10.7,26.6,2.2,1,,2011-12-16T07:59:25,2011-12-16T16:32:52,0.71,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-17,-7.6,-9.8,-8.6,-9.8,-19.6,-16,-10.3,87.5,15.513,100,12.5,snow,12.7,55.9,86.7,41.4,11.2,1006.4,71.6,4.5,53.8,4.7,3,,2011-12-17T08:00:08,2011-12-17T16:33:07,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-18,-8.9,-12.6,-10.8,-11,-18.3,-14.8,-13.1,83.5,0.485,100,4.17,snow,10.4,68.8,28.5,17.9,255.9,1015.8,82.5,12.1,39.2,3.4,2,,2011-12-18T08:00:49,2011-12-18T16:33:26,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-19,-10.7,-14.7,-12,-14.1,-19.3,-16.9,-14,85.7,1.027,100,4.17,snow,3,75.2,26.5,17.9,319.4,1022.5,49.5,10.9,75.1,6.3,4,,2011-12-19T08:01:27,2011-12-19T16:33:47,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-20,-6.8,-15.3,-10.4,-11.3,-21.6,-15.7,-14.4,75,11.253,100,8.33,snow,9.8,77.9,38.6,20.7,256,1020,75.6,5.8,39.4,3.5,2,,2011-12-20T08:02:03,2011-12-20T16:34:12,0.85,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-21,-6.7,-8.3,-7.6,-8.2,-15.5,-13.5,-8.9,90.4,10.582,100,16.67,snow,16.3,92.7,47.4,21.2,339.1,1022.9,79.3,1.6,43.8,3.9,2,,2011-12-21T08:02:37,2011-12-21T16:34:38,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-22,-2,-6.8,-3.7,-6.5,-12.2,-9.7,-4.3,95.1,38.79,100,16.67,"rain,snow",8.5,106.7,49,25.7,307.7,1028.3,54.9,1.6,57.3,4.9,3,,2011-12-22T08:03:08,2011-12-22T16:35:08,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-23,0.6,-2,-0.9,-1,-7.4,-4.3,-4.2,80.4,10.445,100,8.33,"rain,snow",1.3,110.1,27.7,18.9,256.1,1028.1,24.5,16.3,76,6.5,4,,2011-12-23T08:03:36,2011-12-23T16:35:40,0.95,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-24,-1.6,-9,-5.4,-4.3,-17.3,-12,-8.5,80.6,4.475,100,8.33,snow,5.3,111.2,82,46.8,12.6,1027.5,62.1,9.6,44.2,3.8,2,,2011-12-24T08:04:02,2011-12-24T16:36:15,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-25,-6.7,-12.4,-9.6,-10.3,-19,-14.7,-12.6,78.8,0.108,100,4.17,snow,3.2,117,30.4,15.6,28.5,1040.4,43.4,15.9,77.3,6.7,4,,2011-12-25T08:04:25,2011-12-25T16:36:52,0.02,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-26,-0.7,-8.6,-4.4,-1.8,-13.8,-7.5,-8.2,74.8,0,0,0,,0,117,24.5,13.7,143.9,1042.5,24.1,24.1,75.9,6.4,3,,2011-12-26T08:04:45,2011-12-26T16:37:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-27,2.4,-2.6,-0.5,2.4,-3.4,-0.7,-10.4,47.7,0,0,0,,0,116.6,13.8,5.5,160.2,1039.2,2.5,21.6,79.5,6.8,4,,2011-12-27T08:05:03,2011-12-27T16:38:15,0.09,Clear,Clear conditions throughout the day.,clear-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2011-12-28,2.4,-2.7,-1,1,-5.5,-2.6,-8.4,57.9,0,0,0,,0,115.3,15.8,7.8,239.4,1033.6,14.3,17.5,80.8,6.8,4,,2011-12-28T08:05:17,2011-12-28T16:39:00,0.12,Clear,Clear conditions throughout the day.,clear-day,"06780099999,06786099999,06784099999,06793099999"
