name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2013-11-29,-1.6,-7.5,-5.2,-4.3,-14.2,-9.4,-15.7,45.2,0.036,100,4.17,"rain,snow",3,17.8,38.6,25.4,357.6,1029.6,46.8,15.8,92.8,8.1,4,,2013-11-29T07:42:34,2013-11-29T16:35:15,0.88,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain or snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-11-30,-6.3,-9.4,-7.4,-10.1,-15.5,-12.9,-10,82.2,0.223,100,12.5,snow,1.8,21.2,38.6,24.8,24.1,1022.3,69.6,5,49.4,4.5,2,,2013-11-30T07:43:49,2013-11-30T16:34:45,0.92,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-01,-4.7,-11.2,-8.3,-6.3,-17.1,-12.8,-18.4,44.4,0,0,0,,0,21.3,23.5,13.3,152.9,1030.4,8.8,19.5,95.1,8.2,4,,2013-12-01T07:45:02,2013-12-01T16:34:17,0.95,Clear,Clear conditions throughout the day.,clear-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-02,2.3,-7.8,-3.1,-0.6,-11.3,-6.5,-14.3,41.9,0,0,0,,0,21,24.2,14,163.4,1031.9,2.2,19.1,91.3,7.9,4,,2013-12-02T07:46:13,2013-12-02T16:33:52,0.98,Clear,Clear conditions throughout the day.,clear-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-03,4.3,-2.6,0,3.9,-5.7,-2.1,-18.3,24.1,0,0,0,,0,20.4,22.2,11.7,232.6,1031.4,56.5,20.7,90.5,7.8,4,,2013-12-03T07:47:23,2013-12-03T16:33:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,remote,06793099999"
"Davos, Graubünden, Schweiz",2013-12-04,2.6,-3.7,-1.3,-0.1,-8.3,-4.8,-13.4,40.7,0,0,0,,0,20,25.7,14.6,320.2,1030.8,41.7,23.3,90.9,7.8,4,,2013-12-04T07:48:32,2013-12-04T16:33:11,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-05,-0.4,-5.6,-3.6,-3.5,-10.2,-6.9,-10.5,60.3,0,0,0,"rain,snow",0.6,20.2,28,16.8,253.3,1029.8,54,17.6,84.3,7.4,4,,2013-12-05T07:49:39,2013-12-05T16:32:55,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-06,-3.4,-12.1,-6.1,-7.4,-20.8,-12.6,-9,80.7,3.205,100,41.67,snow,2,21.4,63.5,28.9,352.3,1025.8,37.1,6.2,81.7,7.1,4,,2013-12-06T07:50:44,2013-12-06T16:32:41,0.12,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-07,-5.6,-12.8,-8.5,-8.5,-24.1,-14.1,-12,76,0,0,0,snow,1,23.4,43.9,36.8,278.8,1032.7,59.3,16,74.2,6.5,3,,2013-12-07T07:51:47,2013-12-07T16:32:30,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2013-12-08,-1.2,-8.2,-5.5,-4.4,-13.5,-9.5,-14,51.6,0,0,0,,0,23.4,25.5,12.9,255.8,1033.3,22.6,19,82.8,7.1,4,,2013-12-08T07:52:48,2013-12-08T16:32:22,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06784099999,06793099999"
