name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",1999-11-18,-3,-8.2,-5.2,-4.2,-9.3,-7.4,-8.4,78.9,0.133,100,25,snow,,8.2,,14.7,242.6,1010.5,82.8,11.8,,,,,1999-11-18T07:26:55,1999-11-18T16:44:09,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-19,-1.9,-10,-5.2,-5,-11.6,-9,-8.6,77.7,0.836,100,29.17,snow,,9.9,,15.3,20.5,1004,88.3,9.1,,,,,1999-11-19T07:28:21,1999-11-19T16:43:11,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-20,-5.5,-12.4,-8.8,-8.6,-15.1,-11.8,-14.1,66.2,0.105,100,8.33,snow,,3,,8.1,212.3,1014,28.7,23.4,,,,,1999-11-20T07:29:45,1999-11-20T16:42:14,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-21,-6.5,-11,-8.5,-7.7,-16.2,-11.6,-12.2,74.9,0.38,100,8.33,snow,,3,,10.7,24.1,1013.1,65.6,18.5,,,,,1999-11-21T07:31:09,1999-11-21T16:41:20,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-22,-4.7,-8.3,-7,-6.6,-12.8,-9.2,-10.3,78,1.591,100,16.67,snow,,3.2,,12.8,33.5,1017.6,85.8,8.1,,,,,1999-11-22T07:32:33,1999-11-22T16:40:28,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-23,-2.6,-7.1,-4.5,-3.2,-9,-6.2,-6.4,86.8,6.831,100,29.17,snow,,10.1,,7.5,52.7,1025.4,99.2,1.1,,,,,1999-11-23T07:33:55,1999-11-23T16:39:39,0.5,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-24,-0.4,-5.2,-3.1,-2.2,-9.2,-4.8,-5.8,82.3,0.69,100,20.83,"rain,snow",,16.5,,11,112.6,1030.9,90.1,7,,,,,1999-11-24T07:35:17,1999-11-24T16:38:52,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-25,-0.6,-8.2,-5.7,-0.6,-12.4,-8.3,-10.7,68.4,0.012,100,4.17,snow,,13.3,,12.1,167.9,1036.4,10.7,26.7,,,,,1999-11-25T07:36:38,1999-11-25T16:38:07,0.57,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-26,1.2,-8.8,-5.2,1.2,-11.9,-6.7,-10.7,65.9,0,0,0,,,11.9,,11.2,227.6,1035.3,2.9,39.2,,,,,1999-11-26T07:37:57,1999-11-26T16:37:25,0.61,Clear,Clear conditions throughout the day.,clear-day,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",1999-11-27,2,-9.6,-5.6,2,-9.6,-6.2,-11.2,65.7,0,0,0,,,11.1,,7.1,230.5,1034.6,3,49.4,,,,,1999-11-27T07:39:16,1999-11-27T16:36:46,0.64,Clear,Clear conditions throughout the day.,clear-day,"11110099999,06990099999,06786099999,06792099999,11310099999,06791099999"
