name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2004-11-30,4.1,-5.7,-0.8,4.1,-9.8,-4.3,-4.1,79.6,2.764,100,8.33,"rain,snow",1.9,30.3,,16.2,173.5,,75.5,13.1,,,,,2004-11-30T07:44:05,2004-11-30T16:34:39,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-01,-2,-8.3,-5.5,-6.7,-13.9,-10.6,-8.8,77.8,0.008,100,8.33,snow,0.8,32,,27,208.6,,47.2,30.5,,,,,2004-12-01T07:45:18,2004-12-01T16:34:12,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-02,2.4,-6.3,-1.6,-1.8,-11.7,-6,-5.3,76.1,0.008,100,4.17,rain,0,32,,22.9,201.2,,61.5,20.9,,,,,2004-12-02T07:46:29,2004-12-02T16:33:48,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-03,1.1,-4.1,-2.2,0.6,-7.3,-4.2,-5.6,78.1,0,0,0,,0,31.3,,13.1,228.3,,44.1,19.8,,,,,2004-12-03T07:47:39,2004-12-03T16:33:27,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-04,0.3,-4.9,-3.2,0.1,-8.6,-4.9,-9,64.9,0,0,0,,0,30.8,,10.8,199.6,,12.6,38.1,,,,,2004-12-04T07:48:47,2004-12-04T16:33:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-05,1.9,-3.9,-1.7,1.9,-8.1,-2.8,-7.3,66.1,0,0,0,,0,30.4,,11.1,205.4,,57.5,21.1,,,,,2004-12-05T07:49:53,2004-12-05T16:32:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06990099999,06780099999,06786099999,11308099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-06,2.1,-4.6,-1.6,2.1,-8.7,-3.9,-7.6,65,0,0,0,,0,30.3,,13.7,290.2,,50.7,27.1,,,,,2004-12-06T07:50:58,2004-12-06T16:32:39,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-07,4.2,-2,-0.1,3.2,-5.3,-2.7,-7.6,57.3,0,0,0,,0,29.9,,10.6,192.3,,26.2,34.7,,,,,2004-12-07T07:52:01,2004-12-07T16:32:28,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-08,3.5,-2.4,-0.3,3.1,-4.8,-2,-6.4,63.7,0,0,0,,0,29.6,,11.2,251.6,,14.9,23.8,,,,,2004-12-08T07:53:02,2004-12-08T16:32:21,0.88,Clear,Clear conditions throughout the day.,clear-day,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-09,5.5,-2,0,2.9,-5.4,-3.1,-6.7,62.1,0,0,0,,0,29.4,,12.2,130.7,,20.5,28.6,,,,,2004-12-09T07:54:02,2004-12-09T16:32:16,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-10,3.1,-2.6,-0.5,3.1,-6.2,-1.7,-13.4,38,0,0,0,,0,28.8,,10.1,175.7,,7.2,31.6,,,,,2004-12-10T07:54:59,2004-12-10T16:32:14,0.95,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-11,3.8,-3.5,-0.3,2.8,-6.3,-2.5,-12.4,40.1,0,0,0,,0,28,,10.1,200.3,,15.6,33.3,,,,,2004-12-11T07:55:54,2004-12-11T16:32:15,0.98,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06990099999,06780099999,06786099999,06792099999,16008099999,06784099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2004-12-12,3.8,-2.4,-0.3,3.8,-5.3,-0.8,-12.2,40.5,0,0,0,,0,27.1,,10.1,210.4,,10.8,39.3,,,,,2004-12-12T07:56:47,2004-12-12T16:32:19,0,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-13,2.2,-3.3,-1.3,2.2,-6.5,-1.8,-12.2,43.5,0,0,0,,0,26.6,,7.8,248.8,,20,42.8,,,,,2004-12-13T07:57:38,2004-12-13T16:32:25,0.05,Clear,Partly cloudy throughout the day.,clear-day,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-14,1.7,-4.7,-2.6,0.3,-8.6,-5.1,-12.9,45.2,0,0,0,,0,25.1,,13.5,276.4,,2.5,45.6,,,,,2004-12-14T07:58:27,2004-12-14T16:32:35,0.08,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-15,0.9,-4.3,-2.3,0.9,-9.2,-4.1,-11.4,49.9,0,0,0,,0,22.2,,13.5,206.1,,44.5,33.8,,,,,2004-12-15T07:59:13,2004-12-15T16:32:47,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-16,1.9,-5.1,-2.4,-0.9,-10,-5.3,-8.4,63.5,0.003,100,4.17,"rain,snow",0,20.5,,17.7,209.9,,59.1,21.5,,,,,2004-12-16T07:59:57,2004-12-16T16:33:02,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"06798099999,11110099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2004-12-17,-1.2,-4,-3,-3.1,-9.8,-7.2,-5.8,81.4,0.002,100,4.17,"rain,snow",3.9,20.8,,21.7,226,,87.2,15.5,,,,,2004-12-17T08:00:39,2004-12-17T16:33:20,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"11110099999,06798099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,11310099999,06784099999"
