name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2000-11-14,7.4,1.3,4.3,5.1,-2,1.7,2.4,88,25.382,100,58.33,"rain,snow",1.8,7.5,,21.3,356.8,,97.1,6.8,,,,,2000-11-14T07:22:16,2000-11-14T16:47:35,0.59,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11110099999,06990099999,06786099999,06794099999,06792099999,11105099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-15,3.7,-0.8,1.2,1.7,-3.4,-0.4,-1.4,83.4,5.793,100,29.17,"rain,snow",1.3,9.9,,11.9,172.6,,91.2,12.9,,,,,2000-11-15T07:23:42,2000-11-15T16:46:29,0.63,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"11110099999,06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-16,4.8,-0.4,2.4,3.5,-1.5,1,1,90.6,6.82,100,33.33,"rain,snow",1.9,10.9,,10.6,247.2,,96.7,6.8,,,,,2000-11-16T07:25:09,2000-11-16T16:45:26,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"11110099999,06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-17,2.9,-1.7,0.6,0.6,-5.8,-3.3,-0.5,92.7,34.787,100,66.67,"rain,snow",4.4,14.2,,17.9,31,,100,2.4,,,,,2000-11-17T07:26:35,2000-11-17T16:44:24,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11110099999,06990099999,06680099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-18,1.8,-4.5,-1.2,-0.5,-5.8,-3.6,-3.6,84,2.78,100,20.83,"rain,snow",2.1,18.2,,13.1,19.5,,62.3,12.5,,,,,2000-11-18T07:28:00,2000-11-18T16:43:25,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-19,2.7,-6.5,-2.5,2.4,-10.4,-5.1,-6.8,73.1,0.007,100,4.17,"rain,snow",1.1,17.7,,14.2,193.3,,19.3,23.2,,,,,2000-11-19T07:29:25,2000-11-19T16:42:28,0.77,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,snow,"06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-20,2.5,-2.1,0.7,1.7,-4.8,-0.7,-1.4,86,1.046,100,16.67,"rain,snow",3,19.7,,9.4,211.2,,83,11.2,,,,,2000-11-20T07:30:49,2000-11-20T16:41:33,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06990099999,06680099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-21,1.7,-1.2,0.1,1.7,-4.1,-1.4,-1.7,88,7.764,100,41.67,"rain,snow",1.4,22.4,,10.8,190.1,,88.9,7.9,,,,,2000-11-21T07:32:13,2000-11-21T16:40:41,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"11110099999,06990099999,06680099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-22,5.9,-1.4,2,4.2,-5.8,-1.2,-2.4,73.5,0.143,100,12.5,"rain,snow",0,21.3,,18.2,225.4,,67.9,22.2,,,,,2000-11-22T07:33:36,2000-11-22T16:39:51,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"11110099999,06990099999,06680099999,06786099999,06794099999,11308099999,06792099999,16008099999,11105099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-23,8,0.1,4.7,4.7,-3.6,1.5,-0.8,68,0.322,100,8.33,rain,0,20,,21.6,201,,74.9,19,,,,,2000-11-23T07:34:57,2000-11-23T16:39:03,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"11110099999,06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-24,6.9,1.1,3.2,3.9,-1.5,0.5,1.2,87.5,7.609,100,58.33,"rain,snow",3,20.9,,17.4,44.8,,89.3,7.2,,,,,2000-11-24T07:36:18,2000-11-24T16:38:18,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"11110099999,06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-25,2,-2.8,0.1,0.9,-5.9,-2,-1.4,89.2,5.058,100,50,"rain,snow",2.3,24.6,,11.8,320.6,,76.8,8.4,,,,,2000-11-25T07:37:38,2000-11-25T16:37:35,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06990099999,06680099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-26,3.1,-3.8,-1.1,1.3,-7,-3.8,-4.6,77.5,1.525,100,33.33,"rain,snow",1.2,25.7,,15.8,320.5,,61.3,20.5,,,,,2000-11-26T07:38:57,2000-11-26T16:36:55,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06990099999,06680099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-27,2.4,-4.5,-1.8,0.7,-7.5,-4.1,-5.9,73.9,0.14,100,25,"rain,snow",0.5,26.6,,10.4,261.8,,78.2,14,,,,,2000-11-27T07:40:15,2000-11-27T16:36:18,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"11110099999,06990099999,06786099999,06794099999,11308099999,06792099999,11105099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-28,6.2,-0.8,2.2,4.3,-4.5,-0.5,-2,74,1.47,100,33.33,"rain,snow",0,25.3,,13.3,273.3,,51.3,17.3,,,,,2000-11-28T07:41:32,2000-11-28T16:35:43,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"11110099999,06990099999,06680099999,06786099999,06794099999,06792099999,11105099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-29,7.4,-0.2,3.2,5.1,-3.9,0.6,-4.7,56.6,0.054,100,4.17,rain,0,21.8,,14.4,266.5,,32.1,23.5,,,,,2000-11-29T07:42:48,2000-11-29T16:35:10,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"11110099999,06990099999,06680099999,06786099999,06794099999,06792099999,11105099999,16008099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2000-11-30,6.7,-5.7,1,5.8,-9.1,-1,-4.8,65.9,0.071,100,4.17,rain,0,18.5,,10.6,208.3,,30.2,30.4,,,,,2000-11-30T07:44:02,2000-11-30T16:34:41,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"11110099999,06990099999,06680099999,06786099999,06794099999,06792099999,16008099999,11105099999,11310099999,06791099999"
