name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2014-11-09,6.8,-0.9,2.5,4.2,-4.9,-0.9,-1.6,75.6,0.001,100,4.17,rain,0,6.8,37.8,22.7,177.8,1010,87.5,21.1,63.7,5.6,3,,2014-11-09T07:14:21,2014-11-09T16:54:05,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-10,4.6,1.1,2.7,0.8,-2,-0.7,-0.2,81.8,0.045,100,20.83,rain,0,6.8,52.4,24.3,145.1,1013.2,94.3,11,37.4,3.2,2,,2014-11-10T07:15:49,2014-11-10T16:52:48,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-11,7.3,2.3,4.9,3.5,-1.5,1.1,-0.5,68.6,0,0,0,,0,6.7,49.2,27.8,171.6,1007.8,85.6,18.1,55.2,4.7,3,,2014-11-11T07:17:18,2014-11-11T16:51:34,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-12,7.4,1.4,4.5,4.6,-1.7,1.2,0.2,75,0.005,100,12.5,"rain,snow",0,6.3,43.7,18.6,118,1004.9,96.1,12,39.8,3.5,2,,2014-11-12T07:18:45,2014-11-12T16:50:21,0.68,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-13,4,0,1.4,1.5,-4.7,-1.8,-0.3,89,2.861,100,29.17,"rain,snow",0,6.1,32,20.5,5.9,1012.2,62.7,15.3,83.1,7.2,4,,2014-11-13T07:20:13,2014-11-13T16:49:10,0.71,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-14,6.5,-0.9,2,3.7,-5.1,-1.4,-1.9,76.9,0,0,0,,0,6,33.1,16.9,184.4,1010.8,70.4,17.9,81.5,7,4,,2014-11-14T07:21:40,2014-11-14T16:48:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-15,5.6,0.7,2.9,3.2,-3.5,-0.4,0.2,83.1,13.247,100,54.17,"rain,snow",0.2,5.8,33.1,18,196.5,1004,85.9,13.9,51.4,4.3,3,,2014-11-15T07:23:07,2014-11-15T16:46:55,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-16,0.8,-2.8,-1.3,-1.7,-7.1,-4.8,-2.5,91.9,11.905,100,54.17,"rain,snow",0.2,6,48.4,15.5,165,1005.4,66.1,13.6,76.1,6.5,4,,2014-11-16T07:24:34,2014-11-16T16:45:50,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-17,-0.1,-4,-2.1,-3.8,-8.3,-5.8,-3.6,89.5,0.189,100,4.17,"rain,snow",0.8,5.9,30.8,15.3,49.2,1005.7,88.3,15.1,34.8,2.9,2,,2014-11-17T07:26:00,2014-11-17T16:44:48,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-18,-2.1,-3.5,-2.7,-3.5,-8.7,-6.9,-3.9,91.4,5.457,100,58.33,snow,0.9,6.8,32.9,19.3,339.6,1009.2,77.8,10,84.5,7.3,4,,2014-11-18T07:27:26,2014-11-18T16:43:48,0.87,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-19,-1,-4.5,-3.2,-2.1,-9.7,-6.7,-5.2,86.3,0.485,100,37.5,"rain,snow",0.4,7.5,27.6,14.6,296.6,1020.7,50.4,17.6,96.2,8.4,4,,2014-11-19T07:28:51,2014-11-19T16:42:50,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-20,2.1,-4.7,-1.1,-0.3,-10.4,-4.6,-9,56.8,0,0,0,snow,0.1,7.7,21.6,15.6,234.6,1025.9,68.2,23.1,92.9,8.1,4,,2014-11-20T07:30:15,2014-11-20T16:41:54,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-21,5,0.2,1.8,4.8,-2.7,0.6,-2.3,74.4,0,0,0,,0,7.6,18.3,10.5,247.4,1022.9,66,20,94.2,8.1,4,,2014-11-21T07:31:39,2014-11-21T16:41:01,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-22,7.4,1,3.2,6.5,-0.9,1.7,-1.1,74.6,0.001,100,4.17,"rain,snow",0,7.4,15.6,10.9,202.9,1022,65.9,21.1,86.7,7.5,4,,2014-11-22T07:33:02,2014-11-22T16:40:10,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-23,8.3,1.7,4.4,7.6,-1.3,2.4,-3.1,58.7,0,0,0,,0,6.9,19.5,12.8,217.4,1023.1,53.4,23.3,97.3,8.5,4,,2014-11-23T07:34:24,2014-11-23T16:39:22,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-24,9.2,3.4,5.5,8.6,1.7,4.6,0,67.7,0,0,0,,0,6.4,23.4,12.1,47.7,1023,84.4,15.8,56.6,5,3,,2014-11-24T07:35:45,2014-11-24T16:38:35,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06780099999,06786099999,06790099999,06784099999,06793099999"
"Davos, Graubünden, Schweiz",2014-11-25,8.4,2.7,4.5,6.9,1.2,3.4,0.3,74.7,0.001,100,4.17,rain,0,5.6,22.4,12.7,212.8,1021,81.8,11.1,57.4,5,3,,2014-11-25T07:37:06,2014-11-25T16:37:52,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06780099999,06786099999,06790099999,06784099999,06793099999"
