name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2007-11-13,-7.2,-10.7,-9.1,-10.1,-16.8,-13.7,-11.9,80.7,0.109,100,4.17,snow,4.7,50.5,41,14.8,232.5,,70.1,19.9,,,,,2007-11-13T07:19:48,2007-11-13T16:49:30,0.12,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-14,-5.5,-11.1,-7.4,-7.3,-19.2,-12.8,-8.5,92,11.843,100,16.67,snow,20.4,60.1,53,23.6,0.9,,98.9,2.6,,,,,2007-11-14T07:21:15,2007-11-14T16:48:21,0.15,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-15,-10,-14.3,-11.7,-16.2,-21,-18.5,-13.8,84.6,0.109,100,4.17,snow,14.9,83.7,53.1,20.1,14.7,,74.2,10.2,,,,,2007-11-15T07:22:43,2007-11-15T16:47:14,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-16,-8.4,-16.9,-13.3,-9.1,-22.4,-18.1,-18.3,67.4,0,0,0,snow,2.2,89.6,30.4,14.7,108,,16.4,37.4,,,,,2007-11-16T07:24:09,2007-11-16T16:46:08,0.22,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-17,-6.9,-14.5,-11.7,-12.4,-20.5,-17.3,-17.8,61,0,0,0,,0,88.5,29.4,20.5,331.1,,22.8,33.3,,,,,2007-11-17T07:25:36,2007-11-17T16:45:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-18,-4.5,-13.1,-8.7,-4.5,-19,-11.8,-15.3,58.9,0,0,0,,0,86.1,29.4,14.8,227.3,,8.1,34.5,,,,,2007-11-18T07:27:01,2007-11-18T16:44:05,0.29,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-19,-1,-7.9,-4.4,-4.3,-12.2,-8.7,-11.8,56.4,0,0,0,,0,83.7,27.8,14.8,208.3,,59.7,30.8,,,,,2007-11-19T07:28:27,2007-11-19T16:43:06,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-20,2.6,-4.9,-1.8,-1.2,-9.6,-6.2,-6.5,70.6,0,0,0,,0,82.2,34.6,19.1,193.3,,67.1,31.5,,,,,2007-11-20T07:29:51,2007-11-20T16:42:10,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-21,3.4,0,1.4,0.2,-5.4,-2.3,-1.2,83.1,0,0,0,,0,77.9,47.2,24.4,166.7,,86.5,16.2,,,,,2007-11-21T07:31:15,2007-11-21T16:41:16,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-22,4.4,-0.2,1.5,1.5,-4,-1.7,-0.9,84.8,0.067,100,12.5,"rain,snow",0,72.7,35.3,18.7,173.2,,66.9,16.8,,,,,2007-11-22T07:32:38,2007-11-22T16:40:24,0.43,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-23,2.8,-1.1,1.1,0.3,-4.2,-2.4,0,92.5,1.098,100,12.5,"rain,snow",2.6,69.1,44.8,20.6,189.8,,96,8.3,,,,,2007-11-23T07:34:01,2007-11-23T16:39:35,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-24,0.5,-1.2,-0.5,-0.4,-5.3,-3.5,-1.1,96,5.998,100,12.5,"rain,snow",1.5,71.5,34.2,15.2,52.1,,98.8,7.9,,,,,2007-11-24T07:35:23,2007-11-24T16:38:48,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-25,-0.6,-4,-2,-2.9,-8.6,-6,-2.6,95.4,0.486,100,4.17,"rain,snow",1.7,71.4,36.1,17.5,327.5,,93.8,19.1,,,,,2007-11-25T07:36:43,2007-11-25T16:38:03,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-26,-4,-8.4,-6.2,-8,-14.9,-12.5,-8.6,82.9,1.031,100,8.33,snow,4.1,74.5,62.3,34.4,357.9,,72,8.8,,,,,2007-11-26T07:38:03,2007-11-26T16:37:22,0.56,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-27,-4.6,-10.7,-8,-9.1,-17.1,-13.1,-13.8,64.3,0.092,100,4.17,snow,1.8,77.8,42.7,16.7,307.7,,14.6,24.5,,,,,2007-11-27T07:39:22,2007-11-27T16:36:42,0.59,Snow,Clear conditions throughout the day with late afternoon snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-28,1.3,-7.4,-3.1,1.3,-10.4,-4,-9.4,62,0,0,0,,0,76.2,21.8,6.6,264.9,,1.6,37.2,,,,,2007-11-28T07:40:39,2007-11-28T16:36:05,0.63,Clear,Clear conditions throughout the day.,clear-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-29,1.1,-5.3,-2.8,-0.5,-8.7,-4.2,-8.4,65.9,0,0,0,,0,74.9,22.9,14.7,346.9,,33.9,32.1,,,,,2007-11-29T07:41:55,2007-11-29T16:35:31,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-11-30,0,-6.2,-2.8,-3.1,-10.9,-6.9,-5.6,81.6,0,0,0,,0,73.2,35.4,17.7,330,,93,11.1,,,,,2007-11-30T07:43:11,2007-11-30T16:35:00,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"06798099999,06780099999,06786099999,06792099999,06784099999"
"Davos, Graubünden, Schweiz",2007-12-01,3.8,-1.8,-0.3,1.9,-6.1,-3.3,-4,76.5,0,0,0,,0,72.8,33.1,19,253.7,,71.1,24.8,,,,,2007-12-01T07:44:24,2007-12-01T16:34:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,06780099999,06786099999,06792099999,06784099999"
