name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Davos, Graubünden, Schweiz",2002-11-15,5.7,1.2,3,3.5,-4.5,-1.7,1.7,91.4,18.561,100,16.67,"rain,snow",0.1,42.3,,28.2,277.6,,99.5,4.8,,,,,2002-11-15T07:23:01,2002-11-15T16:47:01,0.35,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,11110099999,06788099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-16,5.8,-1,2.1,1.9,-5.9,-2.3,1.2,94,32.576,100,16.67,"rain,snow",1.1,42.4,,34.1,302.5,,98.6,5.5,,,,,2002-11-16T07:24:27,2002-11-16T16:45:56,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-17,2.3,-2.6,-0.9,0,-5.8,-3.8,-1.6,94.6,8.389,100,8.33,"rain,snow",0.6,43.6,,13.6,194.8,,71.3,18.4,,,,,2002-11-17T07:25:54,2002-11-17T16:44:53,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06798099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-18,-0.3,-3.3,-1.8,-1.5,-6.4,-3.8,-2.7,93.9,8.555,100,8.33,"rain,snow",0,43.8,,10.5,33.8,,91.9,7.6,,,,,2002-11-18T07:27:19,2002-11-18T16:43:53,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,16008099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-19,0.1,-3.4,-1.3,0.1,-7.6,-3.6,-1.7,97,3.304,100,12.5,"rain,snow",0,43.8,,16.6,257,,92,5.4,,,,,2002-11-19T07:28:44,2002-11-19T16:42:55,0.48,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,16008099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-20,3.9,-4.5,-2.1,3.9,-9,-6.1,-3.7,89.4,0,0,0,,0,43.8,,16.6,206,,41.1,33.2,,,,,2002-11-20T07:30:09,2002-11-20T16:41:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-21,4.1,-1.8,1.7,1.1,-7.3,-2.9,-3,72.4,0,0,0,,0,43.8,,27.9,182.8,,90.2,22.6,,,,,2002-11-21T07:31:33,2002-11-21T16:41:05,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999,06791099999"
"Davos, Graubünden, Schweiz",2002-11-22,2.7,-4.5,-1.3,-1.8,-9.4,-5.8,-3.1,88.2,6.495,100,16.67,"rain,snow",1.1,44.1,,34.8,14,,94.1,7.2,,,,,2002-11-22T07:32:56,2002-11-22T16:40:14,0.58,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-23,1.4,-7.4,-4,1.4,-12.6,-7.6,-5.6,88.8,0,0,0,snow,0.6,45.3,,20.6,202.8,,50.5,36.1,,,,,2002-11-23T07:34:18,2002-11-23T16:39:26,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-24,4.7,-1.9,1.6,2.4,-6,-2.7,-1.2,83,0.063,100,16.67,"rain,snow",0,45.4,,29.7,248.3,,84.8,20.8,,,,,2002-11-24T07:35:40,2002-11-24T16:38:39,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-25,3.1,1.2,1.9,-0.8,-4.7,-2.2,1,94.1,20.254,100,16.67,"rain,snow",0,45.4,,29.6,187.1,,98,11,,,,,2002-11-25T07:37:00,2002-11-25T16:37:55,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06798099999,06990099999,06780099999,06786099999,06792099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-26,2.3,0.7,1.3,1.1,-2.7,-1.1,0.7,95.9,4.139,100,16.67,"rain,snow",0,45.4,,11.5,96.6,,95.6,4.3,,,,,2002-11-26T07:38:20,2002-11-26T16:37:14,0.72,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-27,5,0.5,2.1,2.3,-3.2,-0.4,0.7,90.5,0.558,100,12.5,"rain,snow",0,45.4,,12.7,180.5,,74.1,16.2,,,,,2002-11-27T07:39:38,2002-11-27T16:36:35,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
"Davos, Graubünden, Schweiz",2002-11-28,4.4,-0.9,1.2,2,-3.9,-1.6,-1.3,83.7,0,0,0,"rain,snow",1.1,45.8,,14.5,178.4,,78.9,17.2,,,,,2002-11-28T07:40:55,2002-11-28T16:35:59,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06798099999,11110099999,06990099999,06780099999,06786099999,11308099999,06792099999,11105099999,06784099999,11310099999"
